,id,Startup,Sector,Business_Model,Employee_count,Employment_taxes,Turnover,Year_Founded,Website
256,517,SOMA Smart Home,Consumer,"B2B, B2C",8,"12,400.00","127,700.00",2013,www.somasmarthome.com
257,520,ExtendLaw OU,Business,B2B,5,"12,400.00","158,200.00",2016,http://extendlaw.com/
258,522,Modern Mobility,Transportation,"B2G, B2C",7,"12,200.00","37,800.00",2018,https://www.modernmobility.eu/
259,524,Binalyze,CyberTech,"B2B, B2C",2,"12,100.00","1,500,000.00",2018,www.binalyze.com
260,525,MyDello,Transportation,B2B,2,"12,100.00","586,000.00",2018,MyDello.com
261,527,PRNEWS.IO,AdTech &,"B2B,",2,"11,800.00","798,900.00",2018,https://prnews.io
262,529,Adact,AdTech &,B2B,3,"11,600.00","42,900.00",2019,www.adact.me
263,531,Hausing,PropTech &,"B2B, B2C,",2,"11,500.00","12,100.00",2017,www.hausing.ee
264,533,Joyixir,Gaming,"B2C,",5,"11,500.00","83,600.00",2020,https://joyixir.com
265,535,BugBox Ltd,AgTech &,"B2B, B2C",4,"11,400.00","9,600.00",2015,www.bugbox.ee
266,537,ConTech,Business,"B2B, B2C",1,"11,300.00","97,100.00",2020,https://www.consumertech.ee/
267,539,Up Catalyst,CleanTech,B2B,10,"11,300.00","2,100.00",2019,https://www.upcatalyst.com/
268,540,VeeRa,FinTech,B2B,3,"11,200.00","78,300.00",2016,https://veera.eu/
269,541,Marketing Sharks,AdTech &,-,6,"11,100.00","71,900.00",2012,http://www.marketingsharks.ee/
270,543,RunProperty.com,PropTech &,B2B,4,"11,000.00",,2021,https://runproperty.com
271,546,Teamweek,Business,-,2,"11,000.00","609,700.00",2017,https://teamweek.com/
272,548,InfraFly,Business,B2B,3,"11,000.00","14,400.00",2017,https://oms.infrafly.ee/
273,550,Adovinci,AdTech &,B2B,5,"11,000.00","7,100.00",2017,www.adovinci.com
274,552,QDO,Business,B2B,5,"10,900.00","75,300.00",2019,https://qdo.ee/
275,554,Bacca,Business,"B2B, B2G,",5,"10,800.00","86,500.00",2018,baccasoft.com
276,556,CTF Tech,CyberTech,"B2B, B2G,",14,"10,700.00","10,800.00",2020,www.ctftech.com
277,558,Allies,Business,B2B,4,"10,600.00","51,200.00",2018,https://allies.digital
278,560,guavaHR,Communication,B2B,5,"10,100.00","49,100.00",2018,www.guavahr.com
279,561,Sharewell,Business,B2B,3,"10,100.00","15,600.00",2020,www.sharewell.eu
